family,trackinglevel,subtype,grade,ucaspoints,upperscore,lowerscore,ranking
ALevel,"Level 3","A2 Level",A*,140.0,NULL,NULL,7.0
ALevel,"Level 3","A2 Level",A*/A,133.3,58.0,55.0,6.6
ALevel,"Level 3","A2 Level",A/A*,126.6,NULL,NULL,6.3
ALevel,"Level 3","A2 Level",A,120.0,55.0,52.0,6.0
ALevel,"Level 3","A2 Level",A/B,113.3,NULL,NULL,5.6
ALevel,"Level 3","A2 Level",B/A,106.6,NULL,NULL,5.3
ALevel,"Level 3","A2 Level",B,100.0,52.0,48.4,5.0
ALevel,"Level 3","A2 Level",B/C,93.3,48.4,44.8,4.6
ALevel,"Level 3","A2 Level",C/B,86.6,NULL,NULL,4.3
ALevel,"Level 3","A2 Level",C,80.0,44.8,41.2,4.0
ALevel,"Level 3","A2 Level",C/D,73.3,41.2,38.2,3.6
ALevel,"Level 3","A2 Level",D/C,66.6,NULL,NULL,3.3
ALevel,"Level 3","A2 Level",D,60.0,38.2,10.0,3.0
ALevel,"Level 3","A2 Level",D/E,53.3,NULL,NULL,2.6
ALevel,"Level 3","A2 Level",E/D,46.6,NULL,NULL,2.3
ALevel,"Level 3","A2 Level",E,40.0,NULL,NULL,2.0
ALevel,"Level 3","A2 Level",F,0.0,NULL,NULL,1.0
ALevel,"Level 3","A2 Level",U,0.0,NULL,NULL,0.0
ALevel,"Level 3","AS Level",A*,70.0,NULL,NULL,7.0
ALevel,"Level 3","AS Level",A*/A,66.6,NULL,NULL,6.6
ALevel,"Level 3","AS Level",A/A*,63.3,NULL,NULL,6.3
ALevel,"Level 3","AS Level",A,60.0,58.0,55.0,6.0
ALevel,"Level 3","AS Level",A/B,56.6,NULL,NULL,5.6
ALevel,"Level 3","AS Level",B/A,53.3,NULL,NULL,5.3
ALevel,"Level 3","AS Level",B,50.0,55.0,50.2,5.0
ALevel,"Level 3","AS Level",B/C,46.6,50.2,48.4,4.6
ALevel,"Level 3","AS Level",C/B,43.3,NULL,NULL,4.3
ALevel,"Level 3","AS Level",C,40.0,48.4,46.6,4.0
ALevel,"Level 3","AS Level",C/D,36.6,46.6,43.0,3.6
ALevel,"Level 3","AS Level",D/C,33.3,NULL,NULL,3.3
ALevel,"Level 3","AS Level",D,30.0,43.0,38.2,3.0
ALevel,"Level 3","AS Level",D/E,26.6,38.2,10.0,2.6
ALevel,"Level 3","AS Level",E/D,23.3,NULL,NULL,2.3
ALevel,"Level 3","AS Level",E,20.0,NULL,NULL,2.0
ALevel,"Level 3","AS Level",F,0.0,NULL,NULL,1.0
ALevel,"Level 3","AS Level",U,0.0,NULL,NULL,0.0
