family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 5",HND,D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 5",HND,M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 5",HND,M,0.0,NULL,NULL,149.00,75.00,2.0
BTEC,"Level 5",HND,M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 5",HND,P/M,0.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 5",HND,P,0.0,NULL,NULL,74.00,0.00,1.0
BTEC,"Level 5",HND,Distinction,NULL,NULL,NULL,500.00,150.00,NULL
BTEC,"Level 4",HNC,D,0.0,NULL,NULL,500.00,150.00,3.0
BTEC,"Level 4",HNC,D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 4",HNC,M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 4",HNC,M,0.0,NULL,NULL,149.00,75.00,2.0
BTEC,"Level 4",HNC,M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 4",HNC,P/M,0.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 4",HNC,P,0.0,NULL,NULL,74.00,0.00,1.0
BTEC,"Level 3","90-Credit Diploma",D*D*,210.0,58.00,50.20,1500.00,790.00,7.0
BTEC,"Level 3","90-Credit Diploma",D*D*/D*D,206.6,NULL,NULL,-1.00,NULL,6.6
BTEC,"Level 3","90-Credit Diploma",D*D/D*D*,203.3,NULL,NULL,-1.00,NULL,6.3
BTEC,"Level 3","90-Credit Diploma",D*D,200.0,50.20,46.60,789.00,770.00,6.0
BTEC,"Level 3","90-Credit Diploma",D*D/DD,193.3,NULL,NULL,-1.00,NULL,5.6
BTEC,"Level 3","90-Credit Diploma",DD/D*D,186.6,NULL,NULL,-1.00,NULL,5.3
BTEC,"Level 3","90-Credit Diploma",DD,180.0,46.60,43.00,769.00,750.00,5.0
BTEC,"Level 3","90-Credit Diploma",DD/DM,173.3,43.00,41.20,-1.00,NULL,4.6
