CriteriaID,Name,Details,Type,UnitID,ParentCriteriaID
10880,P1,"Be able to develop
ideas for work in
printmaking",,961,
10885,P2,"Be able to produce
work in printmaking",,961,
10889,P3,"Be able to comment on own work",,961,
10868,P1,"Be able to develop
ideas for painting(s)",,960,
10873,P2,"Be able to produce
painting(s)",,960,
10877,P3,"Be able to comment on own work",,960,
10856,P1,"Be able to develop
ideas for drawing(s)",,959,
10861,P2,"Be able to produce
drawings",,959,
10865,P3,"Be able to comment on own work",,959,
11049,P1,"Be able to develop
ideas for work in
3D design crafts",,977,
11054,P2,"Be able to produce
work in 3D design
crafts",,977,
11058,P3,"Be able to comment on own work.",,977,
10892,P1,"Be able to develop
ideas for work in
mixed media",,962,
10897,P2,"Be able to produce
work in mixed media",,962,
10901,P3,"Be able to comment on own work",,962,
10904,P1,"Be able to develop
ideas for work in
surface relief",,963,
10909,P2,"Be able to produce
work in surface
relief",,963,
10913,P3,"Be able to comment on own work",,963,
10928,P1,"Be able to develop
ideas for a 3D
design brief",,965,
10933,P2,"Be able to produce
work in 3D design
to a brief",,965,
10937,P3,"Be able to
comment on own
work.",,965,
10940,P1,"Be able to develop
ideas for work in 3
dimensional fine
art",,966,
10945,P2,"Be able to produce
work in 3
dimensional fine art",,966,
10949,P3,"Be able to comment on own work.",,966,
10952,P1,"Be able to develop ideas for a final
piece of work from a self-set brief",,967,
10957,P2,"Be able to produce a final piece of work from a selfset brief",,967,
10961,P3,"Be able to comment on own work",,967,
10964,P1,"Be able to develop ideas for work on an accessory project from a brief",,968,
10969,P2,"Be able to produce work for an accessory project from a brief",,968,
10973,P3,"Be able to comment on own work.",,968,
10820,P1,"Be able to develop
ideas for work in 2
dimensions from a
set theme",,956,
10825,P2,"Be able to produce
work in 2 dimensions on a set theme",,956,
10829,P3,"Be able to comment on own work",,956,
10832,P1,"Be able to develop
ideas for work in 3
dimensions from a
set theme",,957,
10837,P2,"Be able to produce
work in 3 dimensions on a given theme",,957,
10841,P3,"Be able to comment on own work.",,957,
10844,P1,"Be able to work in
2 and/or 3
dimensional design
from a set theme",,958,
10849,P2,"Be able to produce
a 2 and/or 3
dimensional design
on a given theme",,958,
10853,P3,"Be able to comment on own work",,958,
11011,P1,"Know their personal strengths and weaknesses",,973,
11013,P2,"Know that they have useful skills and qualities",,973,
11016,P3,"Know about setting both short and long-term goals",,973,
11020,P1,"Be able to contribute to workplace discussions and conversations",,974,
11024,P2,"Be able to use language which is appropriate for the work situation",,974,
11028,P3,"Know why it is important to speak confidently at work",,974,
10976,P1,"Understand the importance of managing themselves effectively in the workplace",,969,
10979,P2,"Demonstrate effective self-managementskills",,969,
10983,P3,"Carry out an analysis of their self-management skills.",,969,
7195,P1,"Outline different forms of communication.",,589,
7196,P2,"Describe barriers to communication in health and social care",,589,
7197,P3,"Explain ways to communicate with adults with different needs in health and social care.",,589,
7198,P4,"Understand ways to communicate with babies, children and young people in health and social care.",,589,
7199,P1,"Explain what rights are.",,590,
7200,P2,"Explain what responsibilities are.",,590,
7201,P3,"Explain the factors that may affect the rights of individuals.",,590,
7202,P4,"Explain how to respect the rights of individuals.",,590,
7203,P5,"Identify laws that can protect employees rights.",,590,
7204,P6,"Identify employer responsibilities in regard to ;Fulfilling a contract.Health and safety ,Equalopportunities and prevention of discrimination.",,590,
7570,P1,"Describe the company or organisation where they plan to do the work placement .",,625,
7571,P2,"Identify the requirements for the placement, and why the requirements are necessary.",,625,
7572,P3,"Describe tasksthey are likely to undertake in the work placement.",,625,
7573,P4,"Describe appropriate attitudes and behaviours for the work placement and why they are important in the workplace.",,625,
7574,P5,"Describe appropriate steps they could take in situations of emotional stress, difficulty or confusion during the work placement.",,625,
7575,P6,"set appropriate goals for the work placement.",,625,
7576,P1,"Describe ways food contributes to the health of individuals.",,626,
7577,P2,"outline healthy drinks and snacks for groups.",,626,
7578,P3,"Make healthy drinks and snacks to meet individual needs.",,626,
7579,P4,"serve drinks and snacks to meet individual needs.",,626,
7580,P1,"Describe creative activities for adults.",,627,
7581,P2,"Describe leisure activities for adults.",,627,
7582,P3,"Participate in a creative and leisure activities for adults and demonstrate;self-management skills, a positive contribution as team member, meeting agreed deadlines , problem-solving skills,safe practice , the use of IT.",,627,
7583,P4,"Assess own work-related skills required for providing creative and leisure activities for adults.",,627,
7584,P1,"Describe the personal care needs of individuals.",,628,
7585,P2,"describe the emotional needs of individuals.",,628,
7586,P3,"Describe the skills needed for the personal care of others.",,628,
7587,P4,"Describe the personal qualities needed for the personal care of others.",,628,
7588,P5,"Identify the health and social care setting.",,628,
7589,P6,"Identify the settings procedures which relate to personal care.",,628,
7590,P7,"explain why it is important to follow procedures which relate to personal care.",,628,
7591,P1,"Produce evidence of tasks undertaken during work placement.",,629,
7592,P2,"using evidence from the tasks undertaken during the work placement, describe what they learned from the tasks. ",,629,
7593,P3,"using evidence from the tasks undertaken during the work placement, describe what they would change if they were to do the task again.",,629,
7594,P4,"Set short-term goals which build on their learning from carrying out tasks in the work placement.",,629,
7597,P1,"Explain different health requirements for a chosen area of work.",,630,
7598,P2,"describe health risks for a chosen area of work.",,630,
7599,P3,"explain how to reduce health risks in a chosen area of work.",,630,
7642,P1,"Identify and describe the significance of physical health needs.",,634,
7643,P2,"Identify and describe the significance of emotional and social health needs.",,634,
7644,P3,"Describe different factors that affect health .",,634,
7645,P4,"Describe the health needs of individuals ",,634,
7646,P5,"Look at different types of group health issuse.",,634,
7647,P6,"Outline health care available for individuals.",,634,
7648,P7,"Outline social care available for individuals.",,634,
7649,P1,"Describe creative activities for children aged 0-3,3-5,5-11,11-16.",,635,
7650,P2,"Participate in a creative activity for children and demonstrate;self management skills,a positive contribution as team member,Meeting agreed deadlines , problem-solving skills, safe practice , communication skills.",,635,
7651,P3,"Assess own work related skills in supporting childrens creative activities.",,635,
7652,P1,"Describe learning experiences for children and young people aged 0-3,3-5,5-11,11-16.",,636,
7653,P2,"Participate in a learning experience for children or young people and demonstrate;self -management skills. a positive contribution as a team member, meeting agreed deadlines ,problem-solving skills,safe practice , communication skills, the use of IT.",,636,
7654,P3,"Assess own work-related skills required for providing learning experiences for children and young people.",,636,
7655,P1,"Describe ways food contributes to the health of individuals.",,637,
7656,P2,"outline healthy drinks and snacks for groups.",,637,
7657,P3,"make healthy drinks and snacks to meet individuals needs .",,637,
7658,P4,"Serve drinks and snacks to meet individual needs.",,637,
7659,P1,"Identify jobs in different sectors of health and social care.",,638,
7660,P2,"describe a job role in a health and social care setting/department.",,638,
7661,P3,"describe the terms and conditions of employment for jobs in health and social care.",,638,
7662,P4,"Present information about qualifications and skills required for selected jobs in health and social care.",,638,
7663,P5,"Produce a plan to start work within health and social care.",,638,
7664,P1,"Identify an aspect of health and social care to research.",,639,
7665,P2,"Work as a team member in finding relevant information.",,639,
7666,P3,"use communication skills to present information clearly and accurately ",,639,
7667,P4,"Make a positive contribution as a team member.",,639,
7668,P5,"Use self management skills to meet agreed deadlines and solve problems.",,639,
7669,P6,"discuss own work related skills in finding out about an aspect of health and social care.",,639,
6686,P1,"Treat animals according to relevant
legislation",,551,
6687,P2,"Minimise any likelihood of stress and
injury to the animals",,551,
6688,P3,"Optimise the health and wellbeing of
animals during their work.",,551,
6689,P4,"Provide animals with the necessary
opportunity to display natural behaviour,
eg appearance, posture and movement,
behaviour, bodily functions, social
interaction",,551,
6690,P5,"Monitor and report physical condition,
behaviour and the general health and
wellbeing of animals clearly and
accurately to others
",,551,
6691,P6,"Monitor and report on the animal\'s
environment
",,551,
6692,P7,"Maintain health and safety, and the
welfare of animals, during work",,551,
6693,P8,"Feed animals in accordance with
instructions
",,551,
6694,P9,"Supply water to the animals from the
correct sources, in the correct quantities
and using the system in accordance with instructions",,551,
6695,P10,"Monitor and report on the animal’s
feeding and drinking habits
",,551,
6696,P11,"Clean and maintain equipment ready for
use and store it safely and securely in an
appropriate place",,551,
6697,P12,"Dispose of any waste from feeding in the
correct manner and place",,551,
6698,P13,"Maintain health and safety, and the
welfare of animals, during work",,551,
6745,P1,"Recognise different farm animal breeds
and gender types",,556,
6746,P2,"Recognise signs of good health in
different farm animals",,556,
6747,P3,"Recognise signs of ill health in different
farm animals",,556,
6748,P4,"Recognise different farm animal
identification",,556,
6749,P5,"Carry out basic recording of farm animal
information for farm management
purposes",,556,
6750,P6,"Move farm animals from one place to
another on foot or onto a vehicle",,556,
6751,P7,"Handle and restrain farm animals for
inspection and treatment",,556,
6752,P8,"Assist in treating farm animals with
veterinary medicines",,556,
6753,P9,"Maintain a safe and tidy working
environment",,556,
6754,P10,"Identify hazards while working with farm
animals",,556,
6755,P11,"Identify risks while working with farm
animals",,556,
6756,P12,"State how to minimise risks while
working with farm animals",,556,
6713,P1,"Prepare the equipment and materials for
the work
",,553,
6714,P2,"Prepare the animal accommodation ready
for cleaning",,553,
6715,P3,"Clean the animal’s accommodation in
accordance with instructions",,553,
6716,P4,"Leave the animal accommodation in the
appropriate condition after cleaning",,553,
6717,P5,"Maintain health and safety, and the
welfare of the animals, during their work",,553,
6718,P6,"Check the animal accommodation in
accordance with instructions",,553,
6719,P7,"Keep the animal accommodation safe and
secure",,553,
6720,P8,"Correctly identify and report any hazards",,553,
6721,P9,"Dispose of waste in a safe manner and place",,553,
6699,P1,"Work in a healthy and safe way which
complies with legislation",,552,
6700,P2,"Check report that the correct quantities
and types of animal feed have been
delivered and that they are in an
acceptable condition",,552,
6701,P3,"Move, store and handle two types of
animal feed safely, and in a way that
protects it from damage and
contamination and minimises wastage",,552,
6702,P4,"Store animal feed safely according to
instructions, in the order in which it is to
be used",,552,
6703,P5,"Check stored animal feed regularly for
any signs of pest infestation and report
this to the appropriate person straight
away",,552,
6704,P6,"Check stock levels regularly and tell the
appropriate person if stocks are low",,552,
6705,P7,"Wash their hands effectively before and
after handling animal feed",,552,
6706,P8,"Obtain the equipment and materials
needed to prepare and serve animal feed",,552,
