QualID,TypeID,Type,SubTypeID,SubType,LevelID,Level,Name,Credits,Code
423,2,"BTEC Lower",2,Diploma,1,"Level 1","Art & Design",0,L637
416,2,"BTEC Lower",2,Diploma,1,"Level 1","Health and social care",0,k1124
63,2,"BTEC Lower",2,Diploma,1,"Level 1","LAND AND ENVIRONMENT 2012",0,B663-12
65,2,"BTEC Lower",2,Diploma,1,"Level 1","SPORT AND ACTIVE LEISURE 2011",,H1238-11
66,2,"BTEC Lower",2,Diploma,1,"Level 1","in Sport (H646)",0,H1238-12
415,2,"BTEC Lower",2,Diploma,1,"Level 1","Foundation Public Services",0,K1379
485,2,"BTEC Lower",2,Diploma,1,"Level 1","Health and social care 2012",0,K1124-13
497,2,"BTEC Lower",2,Diploma,1,"Level 1","in Sport (H646) 2012",0,H1238-13
502,2,"BTEC Lower",2,Diploma,1,"Level 1","in Sport (H646-13)",0,H646-13
511,2,"BTEC Lower",2,Diploma,1,"Level 1","Foundation Public Services 2013",0,K1379-13
512,2,"BTEC Lower",2,Diploma,1,"Level 1","Foundation Public Services 2012",0,K1380-13
564,2,"BTEC Lower",2,Diploma,1,"Level 1","LAND AND ENVIRONMENT 2013",0,B332-13
417,2,"BTEC Lower",4,Certificate,1,"Level 1","IT Users",13,500/6568/3
64,2,"BTEC Lower",4,Certificate,1,"Level 1","LAND BASED STUDIES",,B948-12
67,2,"BTEC Lower",4,Certificate,1,"Level 1","SPORT AND ACTIVE LEISURE 2011",,H1239-11
68,2,"BTEC Lower",4,Certificate,1,"Level 1","SPORT AND ACTIVE LEISURE 2012",,H1239-12
419,2,"BTEC Lower",4,Certificate,1,"Level 1","Workskills 2011 - 2012",13,600/2394/6
468,2,"BTEC Lower",4,Certificate,1,"Level 1","IT Users 2012",13,F1666-13
470,2,"BTEC Lower",4,Certificate,1,"Level 1","Workskills 2012 - 2013",13,F1752-13
498,2,"BTEC Lower",4,Certificate,1,"Level 1","SPORT AND ACTIVE LEISURE 2013",,H1239-13
595,2,"BTEC Lower",4,Certificate,1,"Level 1","LAND BASED STUDIES 2013",,B948-13
623,13,"BTEC Lower",2,Diploma,1,"Level 1","For IT Users 2012 - 2013",0,
640,13,"BTEC Lower",2,Diploma,1,"Level 1","Land-based Studies",37,500/6701/1
641,13,"BTEC Lower",2,Diploma,1,"Level 1","Diploma in Land-Based Studies (14-16)",37,
643,13,"BTEC Lower",4,Certificate,1,"Level 1","Land Based Studies (14-16)",13,
