UnitID,Name,UniqueID,Credits,TypeID,Type,LevelID,Level,UnitTypeID,Details
961,"Unit 6: Explore Printmaking",K/502/3890,4,13,"BTEC Lower",1,"Level 1",,"Learners will be shown, and then use, a variety of printmaking techniques to explore 2 dimensional (2D) visual language. This is a practical unit where learners will practice and develop their skills through observation and experimentation."
960,"Unit 5: Explore Painting",T/502/3889,3,13,"BTEC Lower",1,"Level 1",,"This unit is an introduction to the many ways learners might produce fine art paintings. Through observation and practical experimentation learners will explore their own creativity and look at the materials, techniques and processes needed to create a painting for fine art work."
959,"Unit 4: Explore Drawing",M/502/3888,4,13,"BTEC Lower",1,"Level 1",,"Learners will be shown how to use a variety of drawing/mark-making techniques to explore 2 dimensional (2D) visual language. This is a practical unit where learners will practise and develop their skills through observation and experimentation."
977,"Unit 9: Explore 3D Design Crafts",F/502/3894,4,13,"BTEC Lower",1,"Level 1",,"This practical unit explores working in one or more 3 dimensional (3D) design
crafts. Learners will develop skills relevant to their creative activities as they
investigate a combination of visual language and professional craft materials and methods. "
962,"Unit 7: Explore Mixed Media",M/502/3891,4,13,"BTEC Lower",1,"Level 1",,"This is a practical unit where learners will combine a variety of mixed media, methods and technologies to produce creative artwork. Learners will practice and develop their skills through observation and experimentation."
963,"Unit 8: Explore and Create Surface Relief",A/502/3893,4,13,"BTEC Lower",1,"Level 1",,"This is a practical unit, forming a bridge between 2 dimensional and 3 dimensional studies (2D/3D). Learners will develop skills through creative activities investigating
the visual language of surface relief, and the materials and methods used by artists, crafts people and designers."
965,"Unit 10: Explore 3D Design",L/502/3896,4,13,"BTEC Lower",1,"Level 1",,"Learners will investigate how to research and develop ideas through to the 3 dimensional (3D) prototype stage of product design; developing practical skills whilst investigating the visual language, materials and methods of the design industry."
966,"Unit 11: Explore 3D Fine Art",R/502/3897,4,13,"BTEC Lower",1,"Level 1",,"This is a practical unit where learners will research and develop ideas through to a 3 dimensional (3D) outcome in sculpture or installation art. Learners will develop making skills whilst investigating the visual language, materials and methods used by artists."
967,"Unit 12: A Personal Project",Y/502/3898,4,13,"BTEC Lower",1,"Level 1",,"Within art and design, what can sometimes separate a good outcome from an exceptional one is a uniqueness of style. This practical unit aims to give learners the opportunity to begin to explore that individual approach. The unit is completely learner-led and is project focused. The learners will develop and apply creative, research and self-management skills within the context of a 2 or 3 (2D/3D)dimensional art and design project."
968,"Unit 13: An Accessory Project",J/502/3900,4,13,"BTEC Lower",1,"Level 1",,"Learners will explore the many and varied types of accessory in this practical and project-focused unit. They will experiment with a variety of different materials and methods, and develop and apply creative skills and processes within a 2 or 3 (2D/3D) dimensional accessory context."
956,"Unit 1: Art and Design: Explore 2 Dimensions",Y/502/3884,3,13,"BTEC Lower",1,"Level 1",,"Artists and designers need a range of 2 dimensional (2D) skills to create their
ideas. This is a practical unit where learners will create 2D work based on a theme."
957,"Unit 2 Discovering 3 Dimensions",H/502/3886,3,13,"BTEC Lower",1,"Level 1",,"This unit aims to introduce learners to 3 dimensional (3D) art and design,developing knowledge, creative and work-related skills within a practical and exploratory context."
958,"Unit 3: A Project in 2 or 3 Dimensions",K/502/3887,3,13,"BTEC Lower",1,"Level 1",,"This is a practical unit which is project focused. Learners will develop and apply creative skills within the context of a 2 or 3 dimensional (2D/3D) art and design project."
973,"Unit 18: Self-assessment",F/501/6329,1,13,"BTEC Lower",1,"Level 1",,"The aim of this unit is to introduce the learner to the skill of self-assessment in
order to identify goals. The ability to set goals and assess performance in reaching
them is a valuable skill in achieving success in the workplace, in training and
studies, and in life in general. The learner will consider their personal strengths and
weaknesses and how they may benefit from their skills and qualities. The unit also
introduces the learner to the process of setting long- and short-term goals and
ways to achieve them."
974,"Unit 19: Speaking Confidently at Work",H/501/6338,1,13,"BTEC Lower",1,"Level 1",,"This unit will help learners develop the communication skills needed to build their confidence with the different people they encounter in the workplace. Learners will find out the difference between formal and informal situations and the types of language to use, appropriate to each situation. Throughout delivery of this unit, the learner will experience practical situations which will build their confidence in spoken language, including answering questions and making relevant comments and suggestions when speaking to others."
969,"Unit 14: Self-management Skills",J/501/6168,2,13,"BTEC Lower",1,"Level 1",,"Learners will be shown how they can develop and use effective self-management skills."
589,"communication with adults and children in health and social care","18;communication with adults and children in health and social care",0,2,BTEC,-1,,,"How to communicate with adults and young children in varied settings in health and social care."
590,"investigating roles and responsibilities at work","unit 8investigating roles at work.",0,2,BTEC,-1,,,"This unit identifies laws and rights of employees."
625," unit 10; preparing for work placement",M/501/6391,0,2,BTEC,-1,,,
626,"unit 17;Promote healthy eating in care.",R/501/7226,0,2,BTEC,-1,,,
627,"unit16;creative and leisure activities for adults in health and social care.",l/501/7225,0,2,BTEC,-1,,,
628,"unit 13;personal care in health and social care ",a/501/7222,0,2,BTEC,-1,,,
629,"unit 11 ; learning from work placement.",j/501/6395,0,2,BTEC,-1,,,
630,"unit 9 managing your health at work.",t/501/6389,0,2,BTEC,-1,,,
634,"Health and social care needs",t/501/7221,4,2,BTEC,-1,,,
635,"unit 14 creative activities for children.",f501/7223,4,2,BTEC,-1,,,
636,"unit 15 learning experiences for children and young people.",j/501/7224,4,2,BTEC,-1,,,
637,"unit 16 ;creative and leisure activities for adults in health and social care.",l/501/7225.,4,2,BTEC,-1,,,
638,"unit 19; job opportunities in health and social care.",d/501/7228,4,2,BTEC,-1,,,
639,"unit 20 health and social care group project.",h/501/6360.,4,2,BTEC,-1,,,
551,"Assist with the Care of Animals",A/502/4588,2,2,BTEC,-1,,,
556,"Farm Animal Health",L/502/4546,4,2,BTEC,-1,,,
553,"Assist with Animal Accommodation",R/600/0470,2,2,BTEC,-1,,,
552,"Assist with Feedstuffs for Small",H/600/0473,2,2,BTEC,-1,,,
554,"Assist with Preparing and Maintaining livestock accommodation",J/502/4108,2,2,BTEC,-1,,,
555,"Assistt with the preparation and the monitoring of livestock outdoors",Y/502/4601,2,2,BTEC,-1,,,
557,"Assist with Feeding and Watering horses",A/600/0463,2,2,BTEC,-1,,,
558,"Assist with the Preparation and aftercare of horses",K/502/5168,6,2,BTEC,-1,,,
559,"Maintain the Health of Horses",J/502/5176,6,2,BTEC,-1,,,
550,"Preparing for an Interview",M/501/6326,1,2,BTEC,-1,,,
563,"Interview Skills",T/501/6327,1,2,BTEC,-1,,,
564,"Self-Management Skills",J/501/6168,2,2,BTEC,-1,,,
560,"Working in a Team",R/501/6058,3,2,BTEC,-1,,,
549,"Maintain the Safety of Self and Others in the Workplace",R/600/0291,4,2,BTEC,-1,,,
732,"Assist with the Movement and Handling of Small Animals",T/502/5710,1,2,BTEC,-1,,,
527,"Unit 5 - Assisting at a Sport Event","Unit 5",3,2,BTEC,-1,,,"Unit 5 - Assisting at a Sport Event"
526,"Unit 17 - Job Opportunities in Sport","Unit 17",4,2,BTEC,-1,,,"Unit 17 - Job Opportunities in Sport"
524,"Unit 13 - Planning Own Fitness Programme","Unit 13",4,2,BTEC,-1,,,"Unit 13 - Planning Own Fitness Programme"
517,"Unit 4 - Taking Part in Sport",4,4,2,BTEC,-1,,,
521,"Unit 10 - Risks and Hazards in Sport","Unit 10",4,2,BTEC,-1,,,"Unit 10 - Risks and Hazards in Sport"
518,"Unit 6 - Improving Own Fitness","Unit 6",3,2,BTEC,-1,,,"Improving Own Fitness"
523,"Unit 11 - Taking Part in Exercsie and Fitness","Unit 11",4,2,BTEC,-1,,,"Unit 11 - Taking Part in Exercsie and Fitness"
519,"Unit 12 - How The Body Works","Unit 12",4,2,BTEC,-1,,,
525,"Unit 15 - Working in Sport and Leisure","Unit 15",4,2,BTEC,-1,,,"Unit 15 - Working in Sport and Leisure"
522,"Unit 14 - Assisting a Leader of Sports","Unit 14",4,2,BTEC,-1,,,"Unit 14 - Assisting a Leader of Sports"
565,"Wellbeing and Fitness for Public Services","Unit 3",2,2,BTEC,-1,,,
566,"Public Service Careers","Unit 5",4,2,BTEC,-1,,,
567,"Improving Health and Fitness for Entry into the Uniformed Public Service","Unit 6",4,2,BTEC,-1,,,
571,"Practical Teamwork in the Public Service","Unit 11",4,2,BTEC,-1,,,
