courseid,userid
4,408
4,53
4,148
4,71
4,608
4,213
4,610
4,601
4,285
4,36
5,220
5,294
5,677
7817,35562
7817,213
7817,610
7817,148
7817,53
7817,40417
7817,166
7819,259
7819,11
6,132
6,173
6,20
6,677
15035,20606
15035,33
15035,86
15035,32547
15035,37212
15035,170
15035,173
15035,32026
15035,677
15035,31153
15035,205
15035,541
15035,220
15035,294
15035,389
15035,400
15035,409
15035,411
15035,421
15037,32332
15037,263
15037,20864
15058,39478
15086,38144
15086,668
15086,110
15086,26335
15086,65
15086,152
15086,229
15086,27275
15086,19
15086,619
15086,20139
15086,20880
15086,27729
15086,20194
15086,37555
15086,40587
15072,20694
15072,34407
15072,37553
15072,3
15072,173
15072,20197
15072,20128
15072,37879
15072,81
15072,19084
15072,32547
15072,541
15072,37212
15072,100
15072,294
15072,220
15072,20864
15072,99
15072,263
15072,62
15072,494
15072,20608
15072,492
15072,94
15072,374
15072,20618
15072,587
15072,29178
15072,17246
15072,150
15072,128
15072,564
15072,285
15072,361
15072,106
15072,35620
15072,271
15072,400
15072,389
15072,411
15072,31153
15072,32026
15072,152
15072,501
15072,223
15072,20182
15072,170
15072,299
15072,33
15057,39152
15057,361
8,132
8,173
8,20
8,677
10,32026
10,31153
10,677
10853,328
10853,20175
10853,20202
10853,19535
10853,19534
10853,20158
12,33
12,623
12,20
12,434
12,677
12,20606
13,139
13,23383
13,44997
13,43872
13,31153
13,32026
13,400
13,30474
13,38152
13,677
13,35610
14,122
14,406
15,296
15,54
15,198
15,122
15,11275
15,406
15,34408
15,20691
15,20151
15,24234
15,35620
16,120
16,296
16,54
16,129
16,406
16,34408
17,294
17,122
17,623
17,18898
17,38119
17,37212
17,20700
17,33
17,677
17,434
17,139
17,20
17,20606
17,205
17,31265
17,157
18,220
18,677
18,294
18,33
18,38119
18,31265
18,46640
19,7
19,111
19,41
19,198
19,406
19,37
19,423
19,85
19,112
19,706
19,20564
19,27
19,53990
19,599
19,545
19,228
19,48201
19,157
22,581
22,148
22,11273
22,601
22,408
22,24234
22,35
22,25720
22,52813
22,17247
22,298
22,46963
14152,20163
14152,20179
14152,34418
14152,20691
14152,20137
14152,20175
14152,30073
14152,34405
23,408
23,148
23,608
23,53
23,213
23,610
23,601
23,285
23,36
23,71
23,374
23,35562
23,35
23,40417
23,46702
23,234
23,32618
23,39437
23,30073
23,166
18468,38146
18468,281
18468,46
18468,273
18468,210
18468,251
18468,38151
18468,49059
18468,605
18468,423
18468,73
18468,593
18468,307
18468,49869
18468,49868
18468,598
18468,562
18468,563
18468,632
18468,117
18468,159
18468,671
18468,320
18468,466
18468,713
18468,36118
18468,430
18468,594
30,174
30,235
30,118
30,401
30,372
30,50
30,27009
30,299
30,38149
30,381
35,31
35,249
35,286
35,383
35,469
35,27741
35,31283
35,105
35,11277
35,46960
35,246
37,132
37,20
37,173
37,38119
37,31265
37,157
10687,20124
10687,20133
10687,20177
10687,20175
10687,20142
10693,20124
10693,20175
10693,38122
10693,36500
10693,49596
10693,20142
10693,20140
10694,20177
10694,20124
10694,20880
10694,26663
10694,20133
10694,20175
10694,38122
10694,36500
10694,49596
10694,20142
10694,20140
10695,20124
10695,20175
10695,20142
10701,20124
10701,20880
10701,20177
10701,20175
10701,20142
10702,20124
10702,20177
10702,20175
10702,20142
15096,299
15096,20175
15096,20190
15096,20133
15096,20194
15096,20182
15096,20124
15096,20196
15096,20142
40,7
40,85
40,198
40,37
40,158
40,406
40,53990
40,545
40,50852
40,228
40,157
41,264
41,54
41,355
41,122
41,298
41,114
41,406
41,34408
10781,25717
10781,345
10781,14
10781,687
10781,302
10781,54070
10781,31004
10781,31667
10781,515
10781,249
10781,20557
10781,34408
8005,220
8005,32547
8005,33
8005,411
8005,677
42,7
