id,userid,trackingqualificationid,trackingunitid,award,comments,dateupdated,userdefinedvalue,shortvalue,setbyuserid,updatedbyuserid,dateset
78062,42275,397,472,,,,,,,,
78063,42275,397,475,,,,,,,,
78064,42534,397,11,,,,,,,,
78065,42534,397,12,,,,,,,,
78066,42534,397,13,,,,,,,,
78067,42534,397,14,,,,,,,,
78068,42534,397,15,,,,,,,,
78069,42534,397,469,,,,,,,,
78070,42534,397,470,,,,,,,,
16043,35911,57,258,,,,,,,,
15988,33467,57,252,,,,,,,,
37401,36484,22,369,,,,,,,,
37426,34289,22,117,Pass,,,,,,,
36345,15986,116,212,,,,,,,,
16042,35911,57,253,,,,,,,,
37441,21424,22,349,,,,,,,,
78061,42275,397,471,,,,,,,,
37398,35956,22,369,,,,,,,,
78060,42275,397,470,,,,,,,,
16041,35911,57,255,,,,,,,,
37438,18276,22,117,,,,,,,,
78059,42275,397,469,,,,,,,,
37400,34923,22,369,,,,,,,,
78322,46146,112,188,,,,,,,,
16040,35911,57,250,,,,,,,,
37440,34253,22,349,,,,,,,,
78321,46146,112,187,,,,,,,,
37399,36117,22,369,,,,,,,,
78320,46146,112,186,,,,,,,,
36423,25001,116,210,,,,,,,,
16039,35911,57,251,,,,,,,,
15987,24864,57,258,,,,,,,,
37397,35955,22,369,,,,,,,,
37439,34288,22,349,Merit,,,,,,,
15946,22991,57,252,,,,,,,,
15986,24864,57,253,,,,,,,,
37396,31166,22,369,,,,,,,,
37437,19580,22,117,,,,,,,,
15952,22991,57,258,,,,,,,,
16037,35911,57,252,,,,,,,,
15985,24864,57,255,,,,,,,,
37461,34299,22,349,Distinction,,,,,,,
37436,18275,22,117,,,,,,,,
35296,21035,96,577,Distinction,,,,,,,
16036,35875,57,258,,,,,,,,
15984,24864,57,250,,,,,,,,
37458,34345,22,349,,,,,,,,
37411,34297,22,117,Pass,,,,,,,
36346,15986,116,213,,,,,,,,
16035,35875,57,253,,,,,,,,
15983,24864,57,251,,,,,,,,
37408,21424,22,117,,,,,,,,
37423,34366,22,117,Merit,,,,,,,
16034,35875,57,255,,,,,,,,
37459,34289,22,349,Pass,,,,,,,
16033,35875,57,250,,,,,,,,
15981,24864,57,252,,,,,,,,
37457,34261,22,349,Distinction,,,,,,,
37409,37409,22,117,Pass,,,,,,,
37425,34345,22,117,,,,,,,,
16032,35875,57,251,,,,,,,,
